节点编号,X坐标（米）,Y坐标（米）,Z坐标（米）
D152,-143.6637,-67.778,-254.9648
D153,-152.0002,-59.936,-252.0788
E137,-158.5168,-51.505,-249.9196
E138,-158.2005,-40.853,-252.0788
E139,-156.0653,-29.609,-254.9648
E140,-153.698,-18.287,-257.4542
E141,-151.1111,-6.96,-259.5326
E142,-148.2739,4.525,-261.2175
E143,-145.2491,15.865,-262.4713
E144,-142.0063,27.213,-263.3133
E145,-138.5647,38.495,-263.7388
E146,-134.7277,50.304,-263.7389
E147,-130.8804,61.454,-263.3133
E148,-126.8337,72.541,-262.4713
E149,-122.6154,83.493,-261.2175
E150,-118.1604,94.452,-259.5326
E151,-113.5953,105.137,-257.4542
E152,-108.8552,115.688,-254.9648
E153,-103.9736,126.04,-252.0788
A137,-97.9688,134.843,-249.9196
A155,-92.8155,144.816,-246.2801
A156,-82.518,147.686,-248.2334
A157,-71.0878,149.059,-250.9348
A158,-59.5475,150.2,-253.2474
A159,-47.7988,151.178,-255.1484
A160,-35.9745,151.917,-256.6462
A161,-24.2092,152.464,-257.6992
A162,-12.4063,152.775,-258.3528
A163,0,152.905,-258.5734
A164,12.4063,152.775,-258.3528
A165,24.2092,152.464,-257.6992
A166,35.9745,151.917,-256.6462
A167,47.7988,151.178,-255.1484
A168,59.5475,150.2,-253.2474
A169,71.0878,149.059,-250.9348
A170,82.518,147.686,-248.2334
A171,92.8155,144.816,-246.2801
B154,102.9916,141.756,-244.0045
B155,109.0462,133.024,-246.2801
B156,114.9581,124.117,-248.2334
B157,119.7956,113.67,-250.9348
B158,124.4475,103.048,-253.2474
B159,129.0081,92.176,-255.1484
B160,133.3648,81.159,-256.6462
B161,137.5207,70.139,-257.6992
B162,141.4635,59.009,-258.3528
B163,145.4213,47.251,-258.5734
B164,149.131,35.411,-258.3528
B165,152.4828,24.09,-257.6992
B166,155.5983,12.731,-256.6462
B167,158.5493,1.258,-255.1484
B168,161.2499,-10.218,-253.2474
B169,163.7303,-21.547,-250.9348
B170,165.957,-32.841,-248.2334
B171,166.4094,-43.522,-246.2801
C154,166.6439,-54.145,-244.0045
C155,160.2098,-62.602,-246.2801
C156,153.566,-70.977,-248.2334
C157,145.1256,-78.806,-250.9348
C158,136.4603,-86.513,-253.2474
C159,127.5302,-94.21,-255.1484
C160,118.3985,-101.758,-256.6462
C161,109.2016,-109.116,-257.6992
C162,99.8355,-116.305,-258.3528
C163,89.8753,-123.702,-258.5734
C164,79.7617,-130.889,-258.3528
C165,70.0304,-137.575,-257.6992
C166,60.1905,-144.048,-256.6462
C167,50.1901,-150.4,-255.1484
C168,40.1104,-156.515,-253.2474
C169,30.1031,-162.375,-250.9348
C170,20.0491,-167.983,-248.2334
C171,10.0311,-171.713,-246.2801
D154,0,-175.219,-244.0045
D155,-10.0311,-171.713,-246.2801
D156,-20.0491,-167.983,-248.2334
D157,-30.1031,-162.375,-250.9348
D158,-40.1104,-156.515,-253.2474
D159,-50.1901,-150.4,-255.1484
D160,-60.1905,-144.048,-256.6462
D161,-70.0304,-137.575,-257.6992
D162,-79.7617,-130.889,-258.3528
D163,-89.8753,-123.702,-258.5734
D164,-99.8355,-116.305,-258.3528
D165,-109.2016,-109.116,-257.6992
D166,-118.3985,-101.758,-256.6462
D167,-127.5302,-94.21,-255.1484
D168,-136.4603,-86.513,-253.2474
D169,-145.1256,-78.806,-250.9348
D170,-153.566,-70.977,-248.2334
D171,-160.2098,-62.602,-246.2801
E154,-166.6439,-54.145,-244.0045
E155,-166.4094,-43.522,-246.2801
E156,-165.957,-32.841,-248.2334
E157,-163.7303,-21.547,-250.9348
E158,-161.2499,-10.218,-253.2474
E159,-158.5493,1.258,-255.1484
E160,-155.5983,12.731,-256.6462
E161,-152.4828,24.09,-257.6992
E162,-149.131,35.411,-258.3528
E163,-145.4213,47.251,-258.5734
E164,-141.4635,59.009,-258.3528
E165,-137.5207,70.139,-257.6992
E166,-133.3648,81.159,-256.6462
E167,-129.0081,92.176,-255.1484
E168,-124.4475,103.048,-253.2474
E169,-119.7956,113.67,-250.9348
E170,-114.9581,124.117,-248.2334
E171,-109.0462,133.024,-246.2801
A154,-102.9916,141.756,-244.0045
A173,-97.7819,151.645,-240.1721
A174,-87.5221,154.586,-242.2464
A175,-77.1678,157.311,-244.0053
A176,-65.6786,158.581,-246.533
A177,-53.9996,159.713,-248.6285
A178,-42.2064,160.582,-250.3445
A179,-30.3762,161.18,-251.6714
A180,-18.5836,161.617,-252.5369
A181,-6.2083,161.908,-252.9578
A182,6.2083,161.908,-252.9578
A183,18.5836,161.617,-252.5369
A184,30.3762,161.18,-251.6714
A185,42.2064,160.582,-250.3445
A186,53.9996,159.713,-248.6285
A187,65.6786,158.581,-246.533
A188,77.1678,157.311,-244.0053
A189,87.5221,154.586,-242.2464
A190,97.7819,151.645,-240.1721
B172,107.8912,148.5,-237.7973
B173,114.0068,139.857,-240.1721
B174,119.9739,131.008,-242.2464
B175,125.7654,122.003,-244.0053
B176,130.5237,111.469,-246.533
B177,135.2089,100.711,-248.6285
B178,139.6796,89.763,-250.3445
B179,143.9045,78.697,-251.6714
B180,147.9638,67.617,-252.5369
B181,152.0645,55.937,-252.9578
B182,155.9015,44.128,-252.9578
B183,159.4491,32.269,-252.5369
B184,162.678,20.918,-251.6714
B185,165.7645,9.482,-250.3445
B186,168.5824,-2.002,-248.6285
B187,171.1154,-13.459,-246.533
B188,173.4577,-24.779,-244.0053
B189,174.0655,-35.468,-242.2464
B190,174.4393,-46.135,-240.1721
C172,174.5716,-56.721,-237.7973
C173,168.242,-65.208,-240.1721
C174,161.67,-73.618,-242.2464
C175,154.8951,-81.909,-244.0053
C176,146.3467,-89.689,-246.533
C177,137.5632,-97.47,-248.6285
C178,128.5331,-105.104,-250.3445
C179,119.314,-112.542,-251.6714
C180,110.0303,-119.827,-252.5369
C181,100.1894,-127.336,-252.9578
C182,90.1441,-134.635,-252.9578
C183,79.9614,-141.673,-252.5369
C184,70.1644,-148.252,-251.6714
C185,60.2418,-154.721,-250.3445
C186,50.1901,-160.95,-248.6285
C187,40.0765,-166.899,-246.533
C188,30.035,-172.625,-244.0053
C189,20.0563,-176.506,-242.2464
C190,10.0275,-180.158,-240.1721
D172,0,-183.555,-237.7973
D173,-10.0275,-180.158,-240.1721
D174,-20.0563,-176.506,-242.2464
D175,-30.035,-172.625,-244.0053
D176,-40.0765,-166.899,-246.533
D177,-50.1901,-160.95,-248.6285
D178,-60.2418,-154.721,-250.3445
D179,-70.1644,-148.252,-251.6714
D180,-79.9614,-141.673,-252.5369
D181,-90.1441,-134.635,-252.9578
D182,-100.1894,-127.336,-252.9578
D183,-110.0303,-119.827,-252.5369
D184,-119.314,-112.542,-251.6714
D185,-128.5331,-105.104,-250.3445
D186,-137.5632,-97.47,-248.6285
D187,-146.3467,-89.689,-246.533
D188,-154.895,-81.909,-244.0053
D189,-161.67,-73.618,-242.2464
D190,-168.242,-65.208,-240.1721
E172,-174.5716,-56.721,-237.7973
E173,-174.4393,-46.135,-240.1721
E174,-174.0655,-35.468,-242.2464
E175,-173.4577,-24.779,-244.0053
E176,-171.1154,-13.459,-246.533
E177,-168.5824,-2.002,-248.6285
E178,-165.7645,9.482,-250.3445
E179,-162.678,20.918,-251.6714
E180,-159.4491,32.269,-252.5369
E181,-155.9015,44.128,-252.9578
E182,-152.0645,55.937,-252.9578
E183,-147.9638,67.617,-252.5369
E184,-143.9045,78.697,-251.6714
E185,-139.6796,89.763,-250.3445
E186,-135.2089,100.711,-248.6285
E187,-130.5237,111.469,-246.533
E188,-125.7654,122.003,-244.0053
E189,-119.9739,131.008,-242.2464
E190,-114.0068,139.857,-240.1721
A172,-107.8912,148.5,-237.7973
A192,-102.6081,158.286,-233.7892
A193,-92.4209,161.3,-235.9681
A194,-82.1132,164.104,-237.8395
A195,-71.6985,166.694,-239.4009
A196,-60.0797,167.965,-241.6988
A197,-48.3663,168.973,-243.6167
A198,-36.5769,169.715,-245.1515
A199,-24.73,170.19,-246.3008
A200,-12.3755,170.625,-246.9299
A201,0,170.77,-247.1397
A202,12.3755,170.625,-246.9299
A203,24.73,170.19,-246.3008
A204,36.5769,169.715,-245.1515
A205,48.3663,168.973,-243.6167
A206,60.0797,167.965,-241.6988
A207,71.6985,166.694,-239.4009
A208,82.1132,164.104,-237.8395
A209,92.4209,161.3,-235.9681
A210,102.6081,158.286,-233.7892
B191,112.6616,155.066,-231.3056
B192,118.831,146.499,-233.7892
B193,124.8455,137.742,-235.9681
B194,130.6973,128.805,-237.8395
B195,136.3787,119.701,-239.4009
B196,141.1786,109.044,-241.6988
B197,145.7566,98.215,-243.6167
B198,150.1053,87.232,-245.1515
B199,154.218,76.112,-246.3008
B200,158.4491,64.496,-246.9299
B201,162.4113,52.771,-247.1397
B202,166.0976,40.956,-246.9299
B203,169.502,29.072,-246.3008
B204,172.7111,17.658,-245.1515
B205,175.6486,6.217,-243.6167
B206,178.3099,-5.235,-241.6988
B207,180.6909,-16.678,-239.4009
B208,181.4461,-27.383,-237.8395
B209,181.9647,-38.053,-235.9681
B210,182.2463,-48.673,-233.7892
C191,182.2903,-59.229,-231.3056
C192,176.0497,-67.744,-233.7892
C193,169.5797,-76.17,-235.9681
C194,162.8886,-84.497,-237.8395
C195,155.9852,-92.714,-239.4009
C196,147.3329,-100.572,-241.6988
C197,138.4488,-108.272,-243.6167
C198,129.3471,-115.802,-245.1515
C199,120.042,-123.15,-246.3008
C200,110.3025,-130.763,-246.9299
C201,100.3757,-138.155,-247.1397
C202,90.2785,-145.312,-246.9299
C203,80.028,-152.222,-246.3008
C204,70.1644,-158.801,-245.1515
C205,60.1905,-165.13,-243.6167
C206,50.1219,-171.2,-241.6988
C207,39.9746,-177.001,-239.4009
C208,30.0266,-181.027,-237.8395
C209,20.0395,-184.817,-235.9681
C210,10.0263,-188.367,-233.7892
D191,0,-191.671,-231.3056
D192,-10.0263,-188.367,-233.7892
D193,-20.0395,-184.817,-235.9681
D194,-30.0266,-181.027,-237.8395
D195,-39.9746,-177.001,-239.4009
D196,-50.1219,-171.2,-241.6988
D197,-60.1905,-165.13,-243.6167
D198,-70.1644,-158.801,-245.1515
D199,-80.028,-152.222,-246.3008
D200,-90.2785,-145.312,-246.9299
D201,-100.3757,-138.155,-247.1397
D202,-110.3025,-130.763,-246.9299
D203,-120.042,-123.15,-246.3008
D204,-129.3471,-115.802,-245.1515
D205,-138.4488,-108.272,-243.6167
D206,-147.3329,-100.572,-241.6988
D207,-155.9852,-92.714,-239.4009
D208,-162.8886,-84.497,-237.8395
D209,-169.5797,-76.17,-235.9681
D210,-176.0497,-67.744,-233.7892
E191,-182.2903,-59.229,-231.3056
E192,-182.2463,-48.673,-233.7892
E193,-181.9647,-38.053,-235.9681
E194,-181.4461,-27.383,-237.8395
E195,-180.6909,-16.678,-239.4009
E196,-178.3099,-5.235,-241.6988
E197,-175.6486,6.217,-243.6167
E198,-172.7111,17.658,-245.1515
E199,-169.502,29.072,-246.3008
E200,-166.0976,40.956,-246.9299
E201,-162.4113,52.771,-247.1397
E202,-158.4491,64.496,-246.9299
E203,-154.218,76.112,-246.3008
E204,-150.1053,87.232,-245.1515
E205,-145.7566,98.215,-243.6167
E206,-141.1786,109.044,-241.6988
E207,-136.3787,119.701,-239.4009
E208,-130.6973,128.805,-237.8395
E209,-124.8455,137.742,-235.9681
E210,-118.831,146.499,-233.7892
A191,-112.6616,155.066,-231.3056
A212,-107.3639,164.807,-227.0504
A213,-97.2191,167.898,-229.3445
A214,-86.9268,170.783,-231.3376
A215,-76.5441,173.452,-233.0145
A216,-66.1188,175.819,-234.4274
A217,-54.4472,176.971,-236.5523
A218,-42.6608,177.861,-238.298
A219,-30.8353,178.48,-239.6548
A220,-18.5843,179.17,-240.4015
A221,-6.2089,179.461,-240.8224
A222,6.2089,179.461,-240.8224
A223,18.5843,179.17,-240.4015
A224,30.8353,178.48,-239.6548
A225,42.6608,177.861,-238.298
A226,54.4472,176.971,-236.5523
A227,66.1188,175.819,-234.4274
A228,76.5441,173.452,-233.0145
A229,86.9268,170.783,-231.3376
A230,97.2191,167.898,-229.3445
A231,107.3639,164.807,-227.0504
B211,117.2971,161.446,-224.5369
B212,123.5633,153.038,-227.0504
B213,129.638,144.345,-229.3445
B214,135.5624,135.448,-231.3376
B215,141.3088,126.398,-233.0145
B216,146.7818,117.214,-234.4274
B217,151.4842,106.47,-236.5523
B218,155.9723,95.535,-238.298
B219,160.2155,84.48,-239.6548
B220,164.658,73.042,-240.4015
B221,168.7588,61.362,-240.8224
B222,172.5961,49.552,-240.8224
B223,176.1437,37.692,-240.4015
B224,179.2727,25.828,-239.6548
B225,182.3382,14.389,-238.298
B226,185.1344,2.905,-236.5523
B227,187.6455,-8.551,-234.4274
B228,188.6156,-19.198,-233.0145
B229,189.2861,-29.897,-231.3376
B230,189.7227,-40.577,-229.3445
B231,189.9178,-51.181,-227.0504
C211,189.7908,-61.666,-224.5369
C212,183.7302,-70.224,-227.0504
C213,177.3398,-78.688,-229.3445
C214,170.709,-87.072,-231.3376
C215,163.8777,-95.333,-233.0145
C216,156.8349,-103.376,-234.4274
C217,148.0696,-111.169,-236.5523
C218,139.057,-118.816,-238.298
C219,129.8539,-126.268,-239.6548
C220,120.3486,-134.028,-240.4015
C221,110.5075,-141.537,-240.8224
C222,100.4614,-148.836,-240.8224
C223,90.2785,-155.875,-240.4015
C224,79.9614,-162.517,-239.6548
C225,70.0304,-168.967,-238.298
C226,59.9722,-175.175,-236.5523
C227,49.8525,-181.104,-234.4274
C228,40.0268,-185.316,-233.0145
C229,30.0584,-189.26,-231.3376
C230,20.036,-192.976,-229.3445
C231,10.0118,-196.438,-227.0504
D211,0,-199.557,-224.5369
D212,-10.0118,-196.438,-227.0504
D213,-20.036,-192.976,-229.3445
D214,-30.0584,-189.26,-231.3376
D215,-40.0268,-185.316,-233.0145
D216,-49.8525,-181.104,-234.4274
D217,-59.9722,-175.175,-236.5523
D218,-70.0304,-168.967,-238.298
D219,-79.9614,-162.517,-239.6548
D220,-90.2785,-155.875,-240.4015
D221,-100.4614,-148.836,-240.8224
D222,-110.5075,-141.537,-240.8224
D223,-120.3486,-134.028,-240.4015
D224,-129.8539,-126.268,-239.6548
D225,-139.057,-118.816,-238.298
D226,-148.0696,-111.169,-236.5523
D227,-156.8349,-103.376,-234.4274
D228,-163.8777,-95.333,-233.0145
D229,-170.709,-87.072,-231.3376
D230,-177.3398,-78.688,-229.3445
D231,-183.7302,-70.224,-227.0504
E211,-189.7908,-61.666,-224.5369
E212,-189.9178,-51.181,-227.0504
E213,-189.7227,-40.577,-229.3445
E214,-189.2861,-29.897,-231.3376
E215,-188.6156,-19.198,-233.0145
E216,-187.6455,-8.551,-234.4274
E217,-185.1344,2.905,-236.5523
E218,-182.3381,14.389,-238.298
E219,-179.2727,25.828,-239.6548
E220,-176.1437,37.692,-240.4015
E221,-172.5961,49.552,-240.8224
E222,-168.7588,61.362,-240.8224
E223,-164.658,73.042,-240.4015
E224,-160.2155,84.48,-239.6548
E225,-155.9723,95.535,-238.298
E226,-151.4842,106.47,-236.5523
E227,-146.7818,117.214,-234.4274
E228,-141.3088,126.398,-233.0145
E229,-135.5624,135.448,-231.3376
E230,-129.638,144.345,-229.3445
E231,-123.5633,153.038,-227.0504
A211,-117.2971,161.446,-224.5369
A233,-111.9174,171.072,-220.1116
A234,-101.8983,174.291,-222.4403
A235,-91.6573,177.261,-224.5391
A236,-81.2964,179.999,-226.3441
A237,-70.9124,182.454,-227.8649
A238,-60.437,184.674,-229.0924
A239,-48.7016,185.72,-231.0337
A240,-36.8892,186.473,-232.61
A241,-24.6688,187.316,-233.5473
A242,-12.4071,187.847,-234.0941
A243,0,188.007,-234.294
A244,12.4071,187.847,-234.0941
A245,24.6688,187.316,-233.5473
A246,36.8892,186.473,-232.61
A247,48.7016,185.72,-231.0337
A248,60.4371,184.674,-229.0924
A249,70.9124,182.454,-227.8649
A250,81.2964,179.999,-226.3441
A251,91.6573,177.261,-224.5391
A252,101.8983,174.291,-222.4403
A253,111.9174,171.072,-220.1116
B232,121.7923,167.633,-217.4996
B233,128.1146,159.304,-220.1116
B234,134.2719,150.77,-222.4403
B235,140.261,141.948,-224.5391
B236,146.0666,132.94,-226.3441
B237,151.6102,123.823,-227.8649
B238,156.9586,114.547,-229.0924
B239,161.5801,103.709,-231.0337
B240,165.9464,92.707,-232.61
B241,170.525,81.346,-233.5473
B242,174.8184,69.848,-234.0941
B243,178.8049,58.098,-234.294
B244,182.4864,46.248,-234.0941
B245,185.7711,34.423,-233.5473
B246,188.7452,22.54,-232.61
B247,191.6794,11.073,-231.0337
B248,194.3107,-0.411,-229.0924
B249,195.4364,-11.06,-227.8649
B250,196.3106,-21.695,-226.3441
B251,196.9084,-32.394,-224.5391
B252,197.2485,-43.052,-222.4403
B253,197.2833,-53.575,-220.1116
C232,197.0641,-64.03,-217.4996
C233,191.0965,-72.616,-220.1116
C234,184.8829,-81.109,-222.4403
C235,178.3434,-89.531,-224.5391
C236,171.5705,-97.837,-226.3441
C237,164.6126,-105.926,-227.8649
C238,157.4428,-113.879,-229.0924
C239,148.5636,-121.624,-231.0337
C240,139.4497,-129.176,-232.61
C241,130.059,-137.041,-233.5473
C242,120.4508,-144.678,-234.0941
C243,110.5075,-152.1,-234.294
C244,100.3757,-159.263,-234.0941
C245,90.1441,-166.041,-233.5473
C246,79.7617,-172.542,-232.61
C247,69.7628,-178.876,-231.0337
C248,59.6536,-184.927,-229.0924
C249,49.874,-189.289,-227.8649
C250,40.0302,-193.406,-226.3441
C251,30.0387,-197.281,-224.5391
C252,20.008,-200.898,-222.4403
C253,10.0104,-204.183,-220.1116
D232,0,-207.205,-217.4996
D233,-10.0104,-204.183,-220.1116
D234,-20.008,-200.898,-222.4403
D235,-30.0387,-197.281,-224.5391
D236,-40.0302,-193.406,-226.3441
D237,-49.874,-189.289,-227.8649
D238,-59.6536,-184.927,-229.0924
D239,-69.7628,-178.876,-231.0337
D240,-79.7617,-172.542,-232.61
D241,-90.1441,-166.041,-233.5473
D242,-100.3757,-159.263,-234.0941
D243,-110.5075,-152.1,-234.294
D244,-120.4508,-144.678,-234.0941
D245,-130.059,-137.041,-233.5473
D246,-139.4497,-129.176,-232.61
D247,-148.5636,-121.624,-231.0337
D248,-157.4428,-113.879,-229.0924
D249,-164.6126,-105.926,-227.8649
D250,-171.5705,-97.837,-226.3441
D251,-178.3434,-89.531,-224.5391
D252,-184.8829,-81.109,-222.4403
D253,-191.0965,-72.616,-220.1116
E232,-197.0641,-64.03,-217.4996
E233,-197.2833,-53.575,-220.1116
E234,-197.2485,-43.052,-222.4403
E235,-196.9084,-32.394,-224.5391
E236,-196.3106,-21.695,-226.3441
E237,-195.4364,-11.06,-227.8649
E238,-194.3107,-0.411,-229.0924
E239,-191.6794,11.073,-231.0337
E240,-188.7452,22.54,-232.61
E241,-185.7711,34.423,-233.5473
E242,-182.4864,46.248,-234.0941
E243,-178.8049,58.098,-234.294
E244,-174.8184,69.848,-234.0941
E245,-170.525,81.346,-233.5473
E246,-165.9464,92.707,-232.61
E247,-161.5801,103.709,-231.0337
E248,-156.9586,114.547,-229.0924
E249,-151.6102,123.823,-227.8649
E250,-146.0666,132.94,-226.3441
E251,-140.261,141.948,-224.5391
E252,-134.2719,150.77,-222.4403
E253,-128.1146,159.304,-220.1116
A232,-121.7923,167.633,-217.4996
A255,-116.3388,177.151,-212.8926
A256,-106.3645,180.449,-215.3254
A257,-96.2735,183.502,-217.4825
A258,-85.9496,186.326,-219.398
A259,-75.6215,188.884,-221.008
A260,-65.1732,191.192,-222.3472
A261,-54.6621,193.243,-223.4042
A262,-42.8817,194.155,-225.1781
A263,-30.7123,195.177,-226.2807
A264,-18.4605,195.861,-227.0195
A265,-6.2088,196.204,-227.3891
A266,6.2088,196.204,-227.3891
A267,18.4605,195.861,-227.0195
A268,30.7123,195.177,-226.2807
A269,42.8817,194.155,-225.1781
A270,54.6621,193.243,-223.4042
A271,65.1732,191.192,-222.3472
A272,75.6215,188.884,-221.008
A273,85.9496,186.326,-219.398
A274,96.2735,183.502,-217.4825
A275,106.3645,180.449,-215.3254
A276,116.3388,177.151,-212.8926
B254,126.1417,173.62,-210.2018
B255,132.5292,165.388,-212.8926
B256,138.7485,156.921,-215.3254
B257,144.7706,148.267,-217.4825
B258,150.6465,139.321,-219.398
B259,156.2707,130.289,-221.008
B260,161.6947,121.065,-222.3472
B261,166.8933,111.702,-223.4042
B262,171.4012,100.781,-225.1781
B263,176.1336,89.522,-226.2807
B264,180.5703,78.082,-227.0195
B265,184.682,66.536,-227.3891
B266,188.5192,54.726,-227.3891
B267,191.9795,42.968,-227.0195
B268,195.1148,31.104,-226.2807
B269,197.9035,19.215,-225.1781
B270,200.6764,7.729,-223.4042
B271,201.9739,-2.901,-222.3472
B272,203.0073,-13.552,-221.008
B273,203.7663,-24.165,-219.398
B274,204.2709,-34.856,-217.4825
B275,204.4854,-45.397,-215.3254
B276,204.4306,-55.902,-212.8926
C254,204.1016,-66.316,-210.2018
C255,198.2464,-74.935,-212.8926
C256,192.1158,-83.466,-215.3254
C257,185.7466,-91.868,-217.4825
C258,179.0543,-100.22,-219.398
C259,172.202,-108.36,-221.008
C260,165.106,-116.369,-222.3472
C261,157.8079,-124.207,-223.4042
C262,148.8135,-131.869,-225.1781
C263,139.5688,-139.849,-226.2807
C264,130.059,-147.604,-227.0195
C265,120.3486,-155.082,-227.3891
C266,110.3025,-162.381,-227.3891
C267,100.1894,-169.305,-227.0195
C268,89.8753,-175.953,-226.2807
C269,79.4294,-182.28,-225.1781
C270,69.3627,-188.466,-223.4042
C271,59.6536,-192.985,-222.3472
C272,49.8439,-197.259,-221.008
C273,39.9849,-201.26,-219.398
C274,29.9728,-205.044,-217.4825
C275,20.0144,-208.505,-215.3254
C276,10.0062,-211.699,-212.8926
D254,0,-214.605,-210.2018
D255,-10.0062,-211.699,-212.8926
D256,-20.0144,-208.505,-215.3254
D257,-29.9728,-205.044,-217.4825
D258,-39.9849,-201.26,-219.398
D259,-49.8439,-197.259,-221.008
D260,-59.6536,-192.985,-222.3472
D261,-69.3627,-188.466,-223.4042
D262,-79.4294,-182.28,-225.1781
D263,-89.8753,-175.953,-226.2807
D264,-100.1894,-169.305,-227.0195
D265,-110.3025,-162.381,-227.3891
D266,-120.3486,-155.082,-227.3891
D267,-130.059,-147.604,-227.0195
D268,-139.5688,-139.849,-226.2807
D269,-148.8135,-131.869,-225.1781
D270,-157.8079,-124.207,-223.4042
D271,-165.106,-116.369,-222.3472
D272,-172.202,-108.36,-221.008
D273,-179.0543,-100.22,-219.398
D274,-185.7466,-91.868,-217.4825
D275,-192.1158,-83.466,-215.3254
D276,-198.2464,-74.935,-212.8926
E254,-204.1016,-66.316,-210.2018
E255,-204.4306,-55.902,-212.8926
E256,-204.4854,-45.397,-215.3254
E257,-204.2709,-34.856,-217.4825
E258,-203.7663,-24.165,-219.398
E259,-203.0073,-13.552,-221.008
E260,-201.9739,-2.901,-222.3472
E261,-200.6764,7.729,-223.4042
E262,-197.9035,19.215,-225.1781
E263,-195.1148,31.104,-226.2807
E264,-191.9795,42.968,-227.0195
E265,-188.5192,54.726,-227.3891
E266,-184.682,66.536,-227.3891
E267,-180.5703,78.082,-227.0195
E268,-176.1336,89.522,-226.2807
E269,-171.4012,100.781,-225.1781
E270,-166.8933,111.702,-223.4042
E271,-161.6947,121.065,-222.3472
E272,-156.2707,130.289,-221.008
E273,-150.6465,139.321,-219.398
E274,-144.7706,148.267,-217.4825
E275,-138.7485,156.921,-215.3254
E276,-132.5292,165.388,-212.8926
A254,-126.1417,173.62,-210.2018
A278,-120.5988,183.012,-205.4338
A279,-110.7029,186.39,-207.9516
A280,-100.6651,189.53,-210.2029
A281,-90.4982,192.427,-212.1846
A282,-80.2153,195.077,-213.8944
A283,-69.8295,197.477,-215.33
A284,-59.3543,199.624,-216.4895
A285,-48.8029,201.515,-217.3715
A286,-36.6734,202.7,-218.6503
A287,-24.4829,203.549,-219.5653
A288,-12.2517,204.058,-220.1148
A289,0,204.228,-220.2981
A290,12.2517,204.058,-220.1148
A291,24.4829,203.549,-219.5653
A292,36.6734,202.7,-218.6503
A293,48.8029,201.515,-217.3715
A294,59.3543,199.624,-216.4895
A295,69.8295,197.477,-215.33
A296,80.2153,195.077,-213.8944
A297,90.4982,192.427,-212.1846
A298,100.6651,189.53,-210.2029
A299,110.7029,186.39,-207.9516
A300,120.5988,183.012,-205.4338
B277,130.3401,179.398,-202.6525
B278,136.7868,171.25,-205.4338
B279,143.0582,162.883,-207.9516
B280,149.1462,154.306,-210.2029
B281,155.0429,145.532,-212.1846
B282,160.7409,136.572,-213.8944
B283,166.2329,127.436,-215.33
B284,171.5117,118.137,-216.4895
B285,176.5707,108.686,-217.3715
B286,181.4464,97.517,-218.6503
B287,186.0202,86.185,-219.5653
B288,190.2844,74.71,-220.1148
B289,194.232,63.11,-220.2981
B290,197.8563,51.406,-220.1148
B291,201.1514,39.616,-219.5653
B292,204.1118,27.76,-218.6503
B293,206.7326,15.857,-217.3715
B294,208.1947,5.238,-216.4895
B295,209.3899,-5.388,-215.33
B296,210.3167,-16.007,-213.8944
B297,210.9739,-26.605,-212.1846
B298,211.3606,-37.17,-210.2029
B299,211.4763,-47.687,-207.9516
B300,211.321,-58.142,-205.4338
C277,210.8947,-68.523,-202.6525
C278,205.1377,-77.173,-205.4338
C279,199.1177,-85.723,-207.9516
C280,192.8425,-94.163,-210.2029
C281,186.32,-102.482,-212.1846
C282,179.5586,-110.67,-213.8944
C283,172.5671,-118.717,-215.33
C284,165.3544,-126.611,-216.4895
C285,157.9296,-134.343,-217.3715
C286,148.8135,-142.431,-218.6503
C287,139.4497,-150.283,-219.5653
C288,129.8539,-157.884,-220.1148
C289,120.042,-165.223,-220.2981
C290,110.0303,-172.287,-220.1148
C291,99.8355,-179.064,-219.5653
C292,89.4746,-185.543,-218.6503
C293,78.9648,-191.714,-217.3715
C294,69.3171,-196.386,-216.4895
C295,59.5805,-200.806,-215.33
C296,49.7676,-204.969,-213.8944
C297,39.8909,-208.869,-212.1846
C298,29.963,-212.502,-210.2029
C299,19.9967,-215.862,-207.9516
C300,10.0048,-218.945,-205.4338
D277,0,-221.747,-202.6525
D278,-10.0048,-218.945,-205.4338
D279,-19.9967,-215.862,-207.9516
D280,-29.963,-212.502,-210.2029
D281,-39.8909,-208.869,-212.1846
D282,-49.7676,-204.969,-213.8944
D283,-59.5805,-200.806,-215.33
D284,-69.3171,-196.386,-216.4895
D285,-78.9648,-191.714,-217.3715
D286,-89.4746,-185.543,-218.6503
D287,-99.8355,-179.064,-219.5653
D288,-110.0303,-172.287,-220.1148
D289,-120.042,-165.223,-220.2981
D290,-129.8539,-157.884,-220.1148
D291,-139.4497,-150.283,-219.5653
D292,-148.8135,-142.431,-218.6503
D293,-157.9296,-134.343,-217.3715
D294,-165.3544,-126.611,-216.4895
D295,-172.5671,-118.717,-215.33
D296,-179.5586,-110.67,-213.8944
D297,-186.32,-102.482,-212.1846
D298,-192.8425,-94.163,-210.2029
D299,-199.1177,-85.723,-207.9516
D300,-205.1377,-77.173,-205.4338
E277,-210.8947,-68.523,-202.6525
E278,-211.321,-58.142,-205.4338
E279,-211.4763,-47.687,-207.9516
E280,-211.3606,-37.17,-210.2029
E281,-210.9739,-26.605,-212.1846
E282,-210.3167,-16.007,-213.8944
E283,-209.3899,-5.388,-215.33
E284,-208.1947,5.238,-216.4895
E285,-206.7326,15.857,-217.3715
E286,-204.1118,27.76,-218.6503
E287,-201.1514,39.616,-219.5653
E288,-197.8563,51.406,-220.1148
E289,-194.232,63.11,-220.2981
