X坐标（米）,Y坐标（米）,Z坐标（米）
-12.4311,153.0801,-258.8688,
0.0000,153.2104,-259.0899,
12.4311,153.0801,-258.8688,
24.2576,152.7685,-258.2139,
36.0464,152.2204,-257.1588,
47.8943,151.4800,-255.6580,
59.6664,150.5000,-253.7532,
71.2298,149.3567,-251.4360,
82.6828,147.9810,-248.7292,
93.0009,145.1052,-246.7720,
103.1973,142.0391,-244.4919,
109.2640,133.2897,-246.7720,
115.1877,124.3649,-248.7292,
120.0349,113.8970,-251.4360,
124.5600,103.1412,-253.4764,
129.0069,92.1751,-255.1460,
133.2708,81.1018,-256.4653,
137.3541,70.0541,-257.3871,
141.2409,58.9161,-257.9462,
145.1547,47.1644,-258.0994,
148.8331,35.3403,-257.8368,
152.1782,24.0419,-257.1845,
155.2875,12.7056,-256.1336,
158.2326,1.2555,-254.6388,
160.9278,-10.1976,-252.7416,
163.4033,-21.5040,-250.4336,
165.6255,-32.7754,-247.7376,
166.0770,-43.4351,-245.7882,
166.3128,-54.0374,-243.5197,
159.8898,-62.4770,-245.7882,
153.2593,-70.8352,-247.7376,
144.8357,-78.6486,-250.4336,
136.1877,-86.3402,-252.7416,
127.2755,-94.0218,-254.6388,
118.1620,-101.5548,-256.1336,
108.9835,-108.8981,-257.1845,
99.6361,-116.0727,-257.8368,
89.6958,-123.4549,-258.0569,
79.6024,-130.6276,-257.8368,
69.8905,-137.3002,-257.1845,
60.0703,-143.7603,-256.1336,
50.0899,-150.0996,-254.6388,
40.0303,-156.2024,-252.7416,
30.0500,-162.0886,-250.4923,
20.0228,-167.7627,-247.9079,
10.0229,-171.5723,-246.0783,
-0.0000,-175.1901,-243.9642,
-10.0291,-171.6794,-246.2319,
-20.0459,-167.9565,-248.1943,
-30.0965,-162.3393,-250.8796,
-40.1024,-156.4838,-253.1969,
-50.1858,-150.3871,-255.1266,
-60.1977,-144.0651,-256.6768,
-70.0605,-137.6342,-257.8100,
-79.8300,-131.0012,-258.5742,
-90.0065,-123.8826,-258.9508,
-100.0349,-116.5373,-258.8688,
-109.4197,-109.3339,-258.2139,
-118.6350,-101.9612,-257.1588,
-127.7849,-94.3982,-255.6580,
-136.7329,-86.6858,-253.7532,
-145.4155,-78.9634,-251.4360,
-153.8727,-71.1188,-248.7292,
-160.5298,-62.7270,-246.7720,
-166.9767,-54.2531,-244.4919,
-166.7418,-43.6089,-246.7720,
-166.2885,-32.9066,-248.7292,
-164.0573,-21.5900,-251.4360,
-161.5720,-10.2384,-253.7532,
-158.8660,1.2605,-255.6580,
-155.9091,12.7564,-257.1588,
-152.7874,24.1381,-258.2139,
-149.4289,35.4817,-258.8688,
-145.7118,47.3454,-259.0899,
-141.7460,59.1269,-258.8688,
-137.7954,70.2791,-258.2139,
-133.6312,81.3211,-257.1588,
-129.2658,92.3601,-255.6580,
-124.6961,103.2538,-253.7532,
-120.0349,113.8970,-251.4360,
-115.1877,124.3649,-248.7292,
-109.2640,133.2897,-246.7720,
-103.1973,142.0391,-244.4919,
-97.9772,151.9479,-240.6518,
-87.6969,154.8948,-242.7302,
-77.3219,157.6252,-244.4927,
-65.8098,158.8977,-247.0254,
-54.1075,160.0320,-249.1251,
-42.2907,160.9027,-250.8445,
-30.4369,161.5019,-252.1741,
-18.6207,161.9398,-253.0413,
-6.2207,162.2314,-253.4630,
6.2207,162.2314,-253.4630,
18.6207,161.9398,-253.0413,
30.4369,161.5019,-252.1741,
42.2907,160.9027,-250.8445,
54.1075,160.0320,-249.1251,
65.8098,158.8977,-247.0254,
77.3219,157.6252,-244.4927,
87.6969,154.8948,-242.7302,
97.9772,151.9479,-240.6518,
108.1067,148.7966,-238.2723,
114.2345,140.1363,-240.6518,
120.2135,131.2697,-242.7302,
126.0166,122.2467,-244.4927,
130.7844,111.6916,-247.0254,
135.4183,100.8670,-249.0135,
139.7620,89.8159,-250.4921,
143.8820,78.6847,-251.6321,
147.8585,67.5689,-252.3572,
151.8922,55.8736,-252.6711,
155.6779,44.0647,-252.5949,
159.1876,32.2161,-252.1227,
162.3914,20.8811,-251.2280,
165.4619,9.4647,-249.8875,
168.2714,-1.9983,-248.1698,
170.8036,-13.4345,-246.0838,
173.1544,-24.7357,-243.5786,
173.7671,-35.4072,-241.8311,
174.1534,-46.0594,-239.7785,
174.3072,-56.6351,-237.4371,
167.9414,-65.0915,-239.7430,
161.3507,-73.4726,-241.7679,
154.5857,-81.7454,-243.5179,
146.0544,-89.5099,-246.0406,
137.2884,-97.2753,-248.1319,
128.2764,-104.8941,-249.8445,
119.0757,-112.3172,-251.1687,
109.8105,-119.5877,-252.0325,
99.9893,-127.0817,-252.4526,
89.9641,-134.3661,-252.4526,
79.8017,-141.3900,-252.0325,
70.0243,-147.9559,-251.1687,
60.1215,-154.4120,-249.8445,
50.0971,-160.6518,-248.1679,
40.0159,-166.6464,-246.1599,
30.0045,-172.4495,-243.7572,
20.0461,-176.4163,-242.1232,
10.0290,-180.1856,-240.2089,
0.0000,-183.7378,-238.0341,
-10.0368,-180.3255,-240.3953,
-20.0753,-176.6731,-242.4757,
-30.0664,-172.8055,-244.2604,
-40.1172,-167.0685,-246.7833,
-50.2454,-161.1273,-248.9024,
-60.3197,-154.9211,-250.6683,
-70.2763,-148.4885,-252.0729,
-80.1211,-141.9560,-253.0413,
-90.3241,-134.9039,-253.4630,
-100.3895,-127.5903,-253.4630,
-110.2501,-120.0663,-253.0413,
-119.5523,-112.7668,-252.1741,
-128.7898,-105.3139,-250.8445,
-137.8380,-97.6647,-249.1251,
-146.6390,-89.8681,-247.0254,
-155.2044,-82.0726,-244.4927,
-161.9929,-73.7650,-242.7302,
-168.5780,-65.3382,-240.6518,
-174.9203,-56.8343,-238.2723,
-174.7877,-46.2271,-240.6518,
-174.4132,-35.5388,-242.7302,
-173.8042,-24.8285,-244.4927,
-171.4572,-13.4859,-247.0254,
-168.9191,-2.0060,-249.1251,
-166.0956,9.5009,-250.8445,
-163.0029,20.9598,-252.1741,
-159.7676,32.3335,-253.0413,
-156.2129,44.2161,-253.4630,
-152.3682,56.0487,-253.4630,
-148.2593,67.7521,-253.0413,
-144.1919,78.8542,-252.1741,
-139.9586,89.9423,-250.8445,
-135.4790,100.9122,-249.1251,
-130.7844,111.6916,-247.0254,
-126.0166,122.2467,-244.4927,
-120.2135,131.2697,-242.7302,
-114.2345,140.1363,-240.6518,
-108.1067,148.7966,-238.2723,
-102.8130,158.6022,-234.2562,
-92.6055,161.6222,-236.4394,
-82.2772,164.4318,-238.3145,
-71.8417,167.0269,-239.8791,
-60.1997,168.3005,-242.1816,
-48.4629,169.3105,-244.1033,
-36.6500,170.0540,-245.6412,
-24.7794,170.5299,-246.7927,
-12.4002,170.9658,-247.4231,
0.0000,171.1111,-247.6333,
12.4002,170.9658,-247.4231,
24.7794,170.5299,-246.7927,
36.6500,170.0540,-245.6411,
48.4629,169.3105,-244.1033,
60.1997,168.3005,-242.1816,
71.8417,167.0269,-239.8791,
82.2772,164.4318,-238.3145,
92.6055,161.6222,-236.4394,
102.8130,158.6021,-234.2562,
112.8866,155.3757,-231.7676,
119.0683,146.7916,-234.2562,
125.0949,138.0171,-236.4394,
130.9583,129.0623,-238.3145,
136.6511,119.9401,-239.8791,
141.4606,109.2618,-242.1816,
146.0477,98.4112,-244.1033,
150.3095,87.3507,-245.4851,
154.3049,76.1549,-246.4396,
158.4412,64.4928,-246.9175,
162.3283,52.7440,-247.0134,
165.9571,40.9214,-246.7210,
169.3193,29.0407,-246.0353,
172.5035,17.6368,-244.8568,
175.4274,6.2092,-243.3099,
178.0862,-5.2284,-241.3956,
180.4765,-16.6582,-239.1168,
181.2332,-27.3509,-237.5605,
181.7635,-38.0109,-235.7072,
182.0676,-48.6253,-233.5600,
182.1465,-59.1823,-231.1232,
175.8403,-67.6634,-233.5111,
169.3277,-76.0568,-235.6174,
162.6117,-84.3534,-237.4352,
155.6968,-92.5426,-238.9583,
147.0386,-100.3711,-241.2160,
138.1723,-108.0557,-243.1301,
129.0887,-115.5707,-244.6619,
119.8022,-122.9040,-245.8089,
110.0822,-130.5018,-246.4367,
100.1752,-137.8791,-246.6461,
90.0982,-145.0218,-246.4367,
79.8685,-151.9186,-245.8100,
70.0371,-158.5130,-244.7069,
60.0976,-164.8752,-243.2409,
50.0641,-171.0026,-241.4201,
39.9501,-176.8927,-239.2544,
30.0241,-181.0117,-237.8194,
20.0513,-184.9260,-236.1073,
10.0407,-188.6374,-234.1248,
0.0000,-192.0538,-231.7676,
-10.0463,-188.7432,-234.2562,
-20.0795,-185.1861,-236.4394,
-30.0866,-181.3886,-238.3145,
-40.0544,-177.3545,-239.8791,
-50.2220,-171.5419,-242.1816,
-60.3107,-165.4598,-244.1033,
-70.3045,-159.1182,-245.6412,
-80.1878,-152.5260,-246.7927,
-90.4588,-145.6022,-247.4231,
-100.5762,-138.4309,-247.6333,
-110.5228,-131.0242,-247.4231,
-120.2818,-123.3960,-246.7927,
-129.6054,-116.0333,-245.6412,
-138.7253,-108.4883,-244.1033,
-147.6272,-100.7729,-242.1816,
-156.2968,-92.8992,-239.8791,
-163.2139,-84.6658,-238.3145,
-169.9184,-76.3221,-236.4394,
-176.4013,-67.8793,-234.2562,
-182.6544,-59.3473,-231.7676,
-182.6103,-48.7702,-234.2562,
-182.3281,-38.1290,-236.4394,
-181.8085,-27.4377,-238.3145,
-181.0518,-16.7113,-239.8791,
-178.6660,-5.2455,-242.1816,
-175.9994,6.2294,-244.1033,
-173.0561,17.6933,-245.6412,
-169.8406,29.1301,-246.7927,
-166.4294,41.0378,-247.4231,
-162.7357,52.8764,-247.6333,
-158.7656,64.6248,-247.4231,
-154.5260,76.2640,-246.7927,
-150.4051,87.4062,-245.6412,
-146.0477,98.4112,-244.1033,
-141.4606,109.2618,-242.1816,
-136.6511,119.9401,-239.8791,
-130.9583,129.0623,-238.3145,
-125.0949,138.0171,-236.4394,
-119.0683,146.7916,-234.2562,
-112.8866,155.3757,-231.7676,
-107.5783,165.1362,-227.5039,
-97.4133,168.2333,-229.8026,
-87.1004,171.1241,-231.7997,
-76.6970,173.7984,-233.4799,
-66.2509,176.1702,-234.8956,
-54.5559,177.3245,-237.0248,
-42.7460,178.2162,-238.7740,
-30.8969,178.8365,-240.1335,
-18.6214,179.5279,-240.8817,
-6.2213,179.8194,-241.3034,
6.2213,179.8194,-241.3034,
18.6214,179.5279,-240.8817,
30.8969,178.8365,-240.1335,
42.7460,178.2162,-238.7740,
54.5560,177.3245,-237.0248,
66.2509,176.1702,-234.8956,
76.6970,173.7984,-233.4799,
87.1004,171.1241,-231.7997,
97.4133,168.2333,-229.8026,
107.5783,165.1362,-227.5039,
117.5314,161.7685,-224.9854,
123.8101,153.3437,-227.5039,
129.8969,144.6333,-229.8026,
135.8332,135.7185,-231.7997,
141.5910,126.6505,-233.4799,
147.0750,117.4481,-234.8956,
151.7868,106.6827,-237.0248,
156.2838,95.7258,-238.7740,
160.5355,84.6487,-240.1335,
164.9049,73.1515,-240.7620,
168.9016,61.4139,-241.0261,
172.6566,49.5694,-240.9068,
176.1421,37.6917,-240.3993,
179.2249,25.8211,-239.5909,
182.2685,14.3835,-238.2069,
185.0579,2.9038,-236.4545,
187.5775,-8.5479,-234.3425,
188.5441,-19.1907,-232.9262,
189.2225,-29.8870,-231.2599,
189.6807,-40.5680,-229.2937,
189.9117,-51.1793,-227.0431,
189.8341,-61.6801,-224.5882,
183.6742,-70.2026,-226.9812,
177.2107,-78.6307,-229.1775,
170.5299,-86.9807,-231.0949,
163.6675,-95.2107,-232.7156,
156.6073,-103.2260,-234.0871,
147.8249,-110.9853,-236.1614,
138.8092,-118.6043,-237.8734,
129.6128,-126.0336,-239.2099,
120.1237,-133.7775,-239.9522,
110.3041,-141.2765,-240.3791,
100.2843,-148.5736,-240.3979,
90.1318,-155.6218,-240.0109,
79.8480,-162.2864,-239.3148,
69.9532,-168.7808,-238.0355,
59.9326,-175.0593,-236.3960,
49.8490,-181.0914,-234.4111,
40.0461,-185.4054,-233.1270,
30.0936,-189.4818,-231.6087,
20.0760,-193.3614,-229.8026,
10.0318,-196.8304,-227.5039,
0.0000,-199.9556,-224.9854,
-10.0318,-196.8304,-227.5039,
-20.0760,-193.3614,-229.8026,
-30.1184,-189.6380,-231.7997,
-40.1067,-185.6861,-233.4799,
-49.9521,-181.4657,-234.8956,
-60.0920,-175.5249,-237.0248,
-70.1703,-169.3045,-238.7740,
-80.1211,-162.8416,-240.1335,
-90.4588,-156.1863,-240.8817,
-100.6621,-149.1333,-241.3034,
-110.7282,-141.8197,-241.3034,
-120.5890,-134.2957,-240.8817,
-130.1133,-126.5202,-240.1335,
-139.3347,-119.0533,-238.7740,
-148.3653,-111.3910,-237.0248,
-157.1482,-103.5825,-234.8956,
-164.2050,-95.5234,-233.4799,
-171.0500,-87.2459,-231.7997,
-177.6940,-78.8452,-229.8026,
-184.0972,-70.3643,-227.5039,
-190.1699,-61.7892,-224.9854,
-190.2971,-51.2832,-227.5039,
-190.1016,-40.6580,-229.8026,
-189.6642,-29.9567,-231.7997,
-188.9923,-19.2363,-233.4799,
-188.0203,-8.5681,-234.8956,
-185.5042,2.9108,-237.0248,
-182.7023,14.4177,-238.7740,
-179.6308,25.8796,-240.1335,
-176.4955,37.7673,-240.8817,
-172.9408,49.6510,-241.3034,
-169.0959,61.4846,-241.3034,
-164.9869,73.1879,-240.8817,
-160.5355,84.6487,-240.1335,
-156.2838,95.7258,-238.7740,
-151.7868,106.6827,-237.0248,
-147.0750,117.4481,-234.8956,
-141.5910,126.6505,-233.4799,
-135.8332,135.7185,-231.7997,
-129.8969,144.6333,-229.8026,
-123.8101,153.3437,-227.5039,
-117.5314,161.7685,-224.9854,
-112.1409,171.4137,-220.5512,
-102.1018,174.6391,-222.8846,
-91.8404,177.6150,-224.9876,
-81.4588,180.3585,-226.7962,
-71.0540,182.8184,-228.3200,
-60.5577,185.0429,-229.5500,
-48.7989,186.0909,-231.4952,
-36.9629,186.8454,-233.0746,
-24.7181,187.6901,-234.0138,
-12.4319,188.2222,-234.5617,
0.0000,188.3825,-234.7620,
12.4319,188.2222,-234.5617,
24.7181,187.6901,-234.0138,
36.9629,186.8454,-233.0746,
48.7989,186.0909,-231.4952,
60.5578,185.0429,-229.5500,
71.0540,182.8184,-228.3200,
81.4588,180.3585,-226.7962,
91.8404,177.6150,-224.9876,
102.1018,174.6391,-222.8846,
112.1409,171.4137,-220.5512,
122.0356,167.9678,-217.9340,
128.3705,159.6222,-220.5512,
134.5401,151.0711,-222.8846,
140.5411,142.2315,-224.9876,
146.3583,133.2055,-226.7962,
151.9130,124.0703,-228.3200,
157.2721,114.7758,-229.5500,
161.9028,103.9161,-231.4952,
166.2779,92.8922,-233.0746,
170.8656,81.5085,-234.0138,
175.1676,69.9875,-234.5617,
179.1620,58.2140,-234.7620,
182.7579,46.3168,-234.4423,
185.9761,34.4610,-233.8050,
188.9043,22.5590,-232.8061,
191.8247,11.0814,-231.2088,
194.4607,-0.4113,-229.2693,
195.5734,-11.0678,-228.0247,
196.4501,-21.7104,-226.5049,
197.0654,-32.4198,-224.7181,
197.4396,-43.0937,-222.6558,
197.5242,-53.6404,-220.3804,
197.3736,-64.1306,-217.8412,
191.2654,-72.6802,-220.3061,
184.9447,-81.1361,-222.5147,
178.3246,-89.5216,-224.5154,
171.4944,-97.7936,-226.2437,
164.4985,-105.8526,-227.7070,
157.3061,-113.7801,-228.8934,
148.4005,-121.4905,-230.7801,
139.2759,-129.0150,-232.3202,
129.8906,-136.8635,-233.2448,
120.2965,-144.4926,-233.7942,
110.3746,-151.9171,-234.0123,
100.2703,-159.0957,-233.8482,
90.0703,-165.9050,-233.3560,
79.7228,-172.4579,-232.4966,
69.7628,-178.8760,-231.0337,
59.6918,-185.0454,-229.2390,
49.9342,-189.5176,-228.1401,
40.1069,-193.7768,-226.7780,
30.0987,-197.6750,-224.9876,
20.0480,-201.2993,-222.8846,
10.0304,-204.5908,-220.5512,
0.0000,-207.6189,-217.9340,
-10.0304,-204.5908,-220.5512,
-20.0480,-201.2993,-222.8846,
-30.0987,-197.6750,-224.9876,
-40.1102,-193.7923,-226.7962,
-49.9736,-189.6671,-228.3200,
-59.7727,-185.2964,-229.5500,
-69.9021,-179.2333,-231.4952,
-79.9210,-172.8866,-233.0746,
-90.3241,-166.3726,-234.0138,
-100.5762,-159.5811,-234.5617,
-110.7282,-152.4038,-234.7620,
-120.6914,-144.9670,-234.5617,
-130.3188,-137.3147,-234.0138,
-139.7282,-129.4340,-233.0746,
-148.8603,-121.8669,-231.4952,
-157.7573,-114.1065,-229.5500,
-164.9414,-106.1376,-228.3200,
-171.9132,-98.0324,-226.7962,
-178.6996,-89.7098,-224.9876,
-185.2522,-81.2710,-222.8846,
-191.4782,-72.7610,-220.5512,
-197.4577,-64.1579,-217.9340,
-197.6773,-53.6820,-220.5512,
-197.6425,-43.1380,-222.8846,
-197.3017,-32.4587,-224.9876,
-196.7027,-21.7383,-226.7962,
-195.8268,-11.0821,-228.3200,
-194.6988,-0.4118,-229.5500,
-192.0622,11.0951,-231.4952,
-189.1222,22.5850,-233.0746,
-186.1421,34.4918,-234.0138,
-182.8509,46.3404,-234.5617,
-179.1620,58.2140,-234.7620,
-175.1676,69.9875,-234.5617,
-170.8656,81.5085,-234.0138,
-166.2779,92.8922,-233.0746,
-161.9028,103.9161,-231.4952,
-157.2721,114.7758,-229.5500,
-151.9130,124.0703,-228.3200,
-146.3583,133.2055,-226.7962,
-140.5411,142.2315,-224.9876,
-134.5401,151.0711,-222.8846,
-128.3705,159.6222,-220.5512,
-122.0356,167.9678,-217.9340,
-116.5712,177.5048,-213.3178,
-106.5769,180.8094,-215.7555,
-96.4658,183.8685,-217.9169,
-86.1213,186.6982,-219.8362,
-75.7725,189.2613,-221.4494,
-65.3034,191.5739,-222.7913,
-54.7713,193.6290,-223.8504,
-42.9673,194.5428,-225.6279,
-30.7736,195.5668,-226.7327,
-18.4974,196.2522,-227.4729,
-6.2212,196.5959,-227.8433,
6.2212,196.5959,-227.8433,
18.4974,196.2522,-227.4729,
30.7736,195.5668,-226.7327,
42.9674,194.5428,-225.6279,
54.7713,193.6290,-223.8504,
65.3034,191.5739,-222.7913,
75.7725,189.2613,-221.4494,
86.1213,186.6982,-219.8362,
96.4658,183.8685,-217.9169,
106.5769,180.8094,-215.7555,
116.5712,177.5048,-213.3178,
126.3936,173.9668,-210.6216,
132.7939,165.7183,-213.3178,
139.0256,157.2344,-215.7555,
145.0598,148.5631,-217.9169,
150.9474,139.5993,-219.8362,
156.5828,130.5492,-221.4494,
162.0177,121.3068,-222.7913,
167.2266,111.9251,-223.8504,
171.7435,100.9823,-225.6279,
176.4854,89.7008,-226.7327,
180.9310,78.2380,-227.4729,
185.0509,66.6689,-227.8433,
188.8957,54.8353,-227.8433,
192.3629,43.0538,-227.4729,
195.5045,31.1661,-226.7327,
198.2988,19.2534,-225.6279,
201.0772,7.7444,-223.8504,
202.3773,-2.9068,-222.7913,
203.4128,-13.5791,-221.4494,
204.1733,-24.2133,-219.8362,
204.6789,-34.9256,-217.9169,
204.8938,-45.4877,-215.7555,
204.8389,-56.0137,-213.3178,
204.5093,-66.4485,-210.6216,
198.6424,-75.0847,-213.3178,
192.4469,-83.6099,-215.6965,
185.9620,-91.9745,-217.7347,
179.1812,-100.2910,-219.5534,
172.2651,-108.3997,-221.0890,
165.1247,-116.3822,-222.3724,
157.7985,-124.1996,-223.3910,
148.7680,-131.8287,-225.1093,
139.5112,-139.7913,-226.1873,
130.0024,-147.5398,-226.9208,
120.3037,-155.0242,-227.3043,
110.2780,-162.3449,-227.3386,
100.1918,-169.3090,-227.0249,
89.9094,-176.0197,-226.3665,
79.4977,-182.4368,-225.3718,
69.4699,-188.7573,-223.7495,
59.7727,-193.3705,-222.7913,
49.9435,-197.6530,-221.4494,
40.0648,-201.6620,-219.8362,
30.0327,-205.4535,-217.9169,
20.0544,-208.9215,-215.7555,
10.0262,-212.1218,-213.3178,
0.0000,-215.0336,-210.6216,
-10.0262,-212.1218,-213.3178,
-20.0544,-208.9215,-215.7555,
-30.0327,-205.4535,-217.9169,
-40.0648,-201.6620,-219.8362,
-49.9435,-197.6530,-221.4494,
-59.7727,-193.3705,-222.7913,
-69.5012,-188.8424,-223.8504,
-79.5880,-182.6441,-225.6279,
-90.0548,-176.3044,-226.7327,
-100.3895,-169.6432,-227.4729,
-110.5228,-162.7053,-227.8433,
-120.5890,-155.3918,-227.8433,
-130.3188,-147.8988,-227.4729,
-139.8476,-140.1283,-226.7327,
-149.1107,-132.1324,-225.6279,
-158.1231,-124.4551,-223.8504,
-165.4358,-116.6014,-222.7913,
-172.5459,-108.5764,-221.4494,
-179.4119,-100.4202,-219.8362,
-186.1176,-92.0515,-217.9169,
-192.4995,-83.6327,-215.7555,
-198.6424,-75.0847,-213.3178,
-204.5093,-66.4485,-210.6216,
-204.8389,-56.0137,-213.3178,
-204.8938,-45.4877,-215.7555,
-204.6789,-34.9256,-217.9169,
-204.1733,-24.2133,-219.8362,
-203.4128,-13.5791,-221.4494,
-202.3773,-2.9068,-222.7913,
-201.0772,7.7444,-223.8504,
-198.2988,19.2534,-225.6279,
-195.5045,31.1661,-226.7327,
-192.3629,43.0538,-227.4729,
-188.8957,54.8353,-227.8433,
-185.0509,66.6689,-227.8433,
-180.9310,78.2380,-227.4729,
-176.4854,89.7008,-226.7327,
-171.7435,100.9823,-225.6279,
-167.2266,111.9251,-223.8504,
-162.0177,121.3068,-222.7913,
-156.5828,130.5492,-221.4494,
-150.9474,139.5993,-219.8362,
-145.0598,148.5631,-217.9169,
-139.0256,157.2344,-215.7555,
-132.7939,165.7183,-213.3178,
-126.3936,173.9668,-210.6216,
-120.8397,183.3775,-205.8441,
-110.9240,186.7623,-208.3669,
-100.8662,189.9086,-210.6227,
-90.6790,192.8113,-212.6084,
-80.3755,195.4666,-214.3216,
-69.9690,197.8714,-215.7601,
-59.4728,200.0227,-216.9219,
-48.9004,201.9175,-217.8057,
-36.7466,203.1049,-219.0870,
-24.5318,203.9556,-220.0038,
-12.2762,204.4656,-220.5544,
0.0000,204.6359,-220.7381,
12.2762,204.4656,-220.5544,
24.5318,203.9556,-220.0038,
36.7467,203.1049,-219.0870,
48.9004,201.9175,-217.8057,
59.4729,200.0227,-216.9219,
69.9690,197.8714,-215.7601,
80.3755,195.4666,-214.3216,
90.6790,192.8113,-212.6084,
100.8662,189.9086,-210.6227,
110.9240,186.7623,-208.3669,
120.8397,183.3775,-205.8441,
130.6004,179.7563,-203.0573,
137.0600,171.5920,-205.8441,
143.3439,163.2083,-208.3669,
149.4441,154.6142,-210.6227,
155.3526,145.8227,-212.6084,
161.0620,136.8448,-214.3216,
166.5649,127.6905,-215.7601,
171.8543,118.3730,-216.9219,
176.9234,108.9031,-217.8057,
181.8088,97.7118,-219.0870,
186.3917,86.3571,-220.0038,
190.6645,74.8592,-220.5544,
194.6199,63.2361,-220.7381,
198.2515,51.5087,-220.5544,
201.5532,39.6951,-220.0038,
204.5195,27.8154,-219.0870,
207.1455,15.8887,-217.8057,
208.6105,5.2485,-216.9219,
209.8081,-5.3988,-215.7601,
210.7368,-16.0390,-214.3216,
211.3953,-26.6581,-212.6084,
211.7828,-37.2442,-210.6227,
211.8987,-47.7822,-208.3669,
211.7431,-58.2581,-205.8441,
211.3159,-68.6599,-203.0573,
205.5474,-77.3271,-205.8441,
199.5154,-85.8942,-208.3669,
193.2277,-94.3511,-210.6227,
186.6921,-102.6867,-212.6084,
179.8743,-110.8646,-214.2704,
172.8115,-118.8851,-215.6350,
165.5485,-126.7596,-216.7436,
158.0908,-134.4801,-217.5934,
148.9376,-142.5498,-218.8327,
139.5549,-150.3963,-219.7309,
129.9553,-158.0073,-220.2867,
120.1515,-165.3737,-220.4990,
110.1574,-172.4860,-220.3691,
99.9874,-179.3364,-219.8993,
89.6533,-185.9136,-219.0870,
79.1225,-192.0969,-217.8057,
69.4556,-196.7782,-216.9219,
59.6995,-201.2071,-215.7601,
49.8670,-205.3784,-214.3216,
39.9706,-209.2862,-212.6084,
30.0228,-212.9264,-210.6227,
20.0366,-216.2931,-208.3669,
10.0248,-219.3823,-205.8441,
0.0000,-222.1899,-203.0573,
-10.0248,-219.3823,-205.8441,
-20.0366,-216.2931,-208.3669,
-30.0228,-212.9264,-210.6227,
-39.9706,-209.2862,-212.6084,
-49.8670,-205.3784,-214.3216,
-59.6995,-201.2071,-215.7601,
-69.4555,-196.7783,-216.9219,
-79.1225,-192.0969,-217.8057,
-89.6533,-185.9136,-219.0870,
-100.0349,-179.4217,-220.0038,
-110.2501,-172.6311,-220.5544,
-120.2818,-165.5530,-220.7381,
-130.1133,-158.1993,-220.5544,
-139.7282,-150.5832,-220.0038,
-149.1107,-142.7155,-219.0870,
-158.2450,-134.6113,-217.8057,
-165.6847,-126.8639,-216.9219,
-172.9118,-118.9541,-215.7601,
-179.9172,-110.8910,-214.3216,
-186.6921,-102.6867,-212.6084,
-193.2277,-94.3511,-210.6227,
-199.5154,-85.8942,-208.3669,
-205.5474,-77.3271,-205.8441,
-211.3159,-68.6599,-203.0573,
-211.7431,-58.2581,-205.8441,
-211.8987,-47.7822,-208.3669,
-211.7828,-37.2442,-210.6227,
-211.3953,-26.6581,-212.6084,
-210.7368,-16.0390,-214.3216,
-209.8081,-5.3988,-215.7601,
-208.6105,5.2485,-216.9219,
-207.1455,15.8887,-217.8057,
-204.5195,27.8154,-219.0870,
-201.5532,39.6951,-220.0038,
-198.2515,51.5087,-220.5544,
-194.6199,63.2361,-220.7381,
-190.6645,74.8592,-220.5544,
-186.3917,86.3571,-220.0038,
-181.8088,97.7118,-219.0870,
-176.9234,108.9031,-217.8057,
-171.8543,118.3730,-216.9219,
-166.5649,127.6905,-215.7601,
-161.0620,136.8448,-214.3216,
-155.3526,145.8227,-212.6084,
-149.4441,154.6142,-210.6227,
-143.3439,163.2083,-208.3669,
-137.0600,171.5920,-205.8441,
-130.6004,179.7563,-203.0573,
-125.2033,189.2512,-197.7603,
-115.3388,192.7272,-200.3856,
-105.3042,195.9686,-202.7520,
-95.1579,198.9636,-204.8409,
-84.7727,201.7281,-206.6892,
-74.3957,204.2241,-208.2287,
-63.9003,206.4676,-209.4968,
-53.3473,208.4535,-210.4812,
-42.9541,209.8944,-211.4250,
-30.7610,210.9174,-212.5290,
-18.4885,211.6038,-213.2680,
-6.2132,211.9465,-213.6380,
6.2132,211.9465,-213.6380,
18.4885,211.6038,-213.2680,
30.7610,210.9174,-212.5290,
42.9541,209.8944,-211.4250,
53.3473,208.4535,-210.4812,
63.9003,206.4676,-209.4968,
74.3957,204.2241,-208.2287,
84.7727,201.7281,-206.6892,
95.1579,198.9636,-204.8409,
105.3042,195.9686,-202.7520,
115.3388,192.7272,-200.3856,
125.2033,189.2512,-197.7603,
134.6509,185.3314,-195.2499,
141.2987,177.5579,-197.7603,
147.6522,169.2504,-200.3856,
153.8365,160.7083,-202.7520,
159.8195,151.9840,-204.8409,
165.6585,142.9610,-206.6892,
171.2382,133.8638,-208.2287,
176.6161,124.5753,-209.4968,
181.7656,115.1525,-210.4812,
186.3473,105.7127,-211.4250,
191.0887,94.4332,-212.5290,
195.5334,82.9734,-213.2680,
199.6529,71.4043,-213.6380,
203.4928,59.5868,-213.6380,
206.9598,47.8053,-213.2680,
210.1001,35.9216,-212.5290,
212.8944,24.0089,-211.4250,
214.7360,13.6793,-210.4812,
216.1086,3.0300,-209.4968,
217.2174,-7.6452,-208.2287,
218.0509,-18.2855,-206.6892,
218.6303,-29.0168,-204.8409,
218.9180,-39.5919,-202.7520,
218.9356,-50.1379,-200.3856,
218.6785,-60.5928,-197.7603,
